product_id,product_name
1,Other
2,EQUINOX
3,WTP_JAVA_EE_TOOLS
4,PDT
5,WTP_SOURCE_EDITING
6,JDT
7,BIRT
8,PDE
9,COMMUNITY
10,Z_ARCHIVED
11,ORION
12,CDT
13,JETTY
14,PLATFORM
15,ECLIPSELINK
16,LINUX_TOOLS
17,EPF
18,RAP
19,PAPYRUS
20,MYLYN
21,TMF
22,DATA_TOOLS
23,FREEDESKTOP.ORG
24,XORG
25,LIBREOFFICE
26,MESA
27,POPPLER
28,TELEPATHY
29,SYSTEMD
30,CAIRO
31,DRI
32,DBUS
33,WAYLAND
34,XKEYBOARD-CONFIG
35,GSTREAMER
36,GCC
37,CLASSPATH
38,NAUTILUS
39,EVOLUTION
40,GLIB
41,GTK+
42,TOTEM
43,GALEON
44,GIMP
45,GNOME-PANEL
46,EPIPHANY
47,RHYTHMBOX
48,GNOME-CONTROL-CENTER
49,GNUMERIC
50,GNOME-APPLETS
51,PAN
52,BUGZILLA
53,OTHER_APPLICATIONS
54,THUNDERBIRD
55,FIREFOX
56,MOZILLA_LOCALIZATIONS
57,CORE
58,TECH_EVANGELISM_GRAVEYARD
59,SEAMONKEY
60,MOZILLA.ORG_GRAVEYARD
61,FIREFOX_BUILD_SYSTEM
62,MOZILLA.ORG
63,CAMINO_GRAVEYARD
64,NSS
65,MAILNEWS_CORE
66,CALENDAR
67,WEBTOOLS_GRAVEYARD
68,ADDONS.MOZILLA.ORG_GRAVEYARD
69,CORE_GRAVEYARD
70,TOOLKIT
71,WWW.MOZILLA.ORG
72,RELEASE_ENGINEERING
73,WINE
